Transaction ID,Date,Company,Category,Amount (USD)
TXN000764,2023-01-11,EXXON 55415875536155,Gas & Transport,101.32
TXN001678,2023-01-11,SUBWAY #6655389,Food & Drink,269.23
TXN001756,2023-01-11,DOORDASH*DOMINOS,Food & Drink,13.75
TXN002959,2023-01-11,LYFT *RIDE,Gas & Transport,99.19
TXN002616,2023-01-12,UDEMY.COM*2EM3TI1E,Education,326.73
TXN000212,2023-01-13,NATIONALGRIDUS,Utilities,421.46
TXN000591,2023-01-13,AMEX EPAYMENT ACH PMT,Finance,289.69
TXN001948,2023-01-13,H&M STORE,Clothing,397.97
TXN002550,2023-01-13,HOME DEPOT.COM,Home Improvement,430.07
TXN000745,2023-01-14,WALGREENS #67357,Health,290.97
TXN000775,2023-01-14,PETSMART #9019,Pets,74.05
TXN000935,2023-01-14,BP#904196899761,Gas & Transport,242.27
TXN001657,2023-01-14,WAYFAIR*93009784,Home & Furniture,365.94
TXN001707,2023-01-14,UBER EATS HELP.UBER.COM,Food & Drink,435.15
TXN002689,2023-01-14,PAYPAL *EBAY,Shopping,188.99
TXN002734,2023-01-14,Google Play,Entertainment,323.62
TXN002919,2023-01-14,SOUTHWESTAIR.COM,Travel,223.32
TXN000166,2023-01-15,HOME DEPOT.COM,Home Improvement,178.55
TXN000258,2023-01-15,SAFEWAY #9402,Groceries,262.04
TXN000403,2023-01-15,Disney+ Subscription,Subscriptions,110.34
TXN000689,2023-01-15,CHIPOTLE MEXICAN GRILL,Food & Drink,73.49
TXN000896,2023-01-15,NATIONALGRIDUS,Utilities,263.24
TXN002685,2023-01-15,MCDONALD'S F86344,Food & Drink,336.20
TXN000713,2023-01-16,TJMAXX.COM,Clothing,85.47
TXN000818,2023-01-16,CHASE AUTOPAY,Finance,299.66
TXN001602,2023-01-16,BEST BUY CO INC,Electronics,134.36
TXN001881,2023-01-16,BKG*4157114895780,Travel,488.80
TXN001950,2023-01-16,EXPEDIA,Travel,265.92
TXN002088,2023-01-16,BEST BUY #9508044,Electronics,46.50
TXN000507,2023-01-17,ZARA USA LLC,Clothing,97.20
TXN000793,2023-01-17,OLD NAVY #95815,Clothing,30.81
TXN000811,2023-01-17,NIKE.COM,Clothing,152.80
TXN000990,2023-01-17,CHASE CREDIT CRD EPAY,Finance,37.78
TXN001562,2023-01-17,CHIPOTLE ONLINE,Food & Drink,487.47
TXN002176,2023-01-17,WALMART.COM,Shopping,220.52
TXN002222,2023-01-17,DOORDASH DASHPASS,Food & Drink,435.16
TXN002245,2023-01-17,CAPITAL ONE ONLINE PMT,Finance,86.39
TXN002703,2023-01-17,LINKEDIN*PREMIUM,Education,271.15
TXN001593,2023-01-18,PUBLIX #8588,Groceries,110.04
TXN001782,2023-01-18,PETSMART #6647,Pets,230.11
TXN002142,2023-01-18,THE HOME DEPOT #9762,Home Improvement,454.01
TXN000193,2023-01-19,GOOGLE*SVCSAPPS,Entertainment,463.91
TXN000694,2023-01-19,CONED WEB PAY,Utilities,293.99
TXN000996,2023-01-19,STEAMGAMES.COM,Entertainment,471.11
TXN001186,2023-01-19,LOWES.COM,Home Improvement,99.45
TXN001800,2023-01-19,CAPITAL ONE ONLINE PMT,Finance,353.40
TXN002885,2023-01-19,DUNKIN #314198,Food & Drink,96.66
TXN002985,2023-01-19,PLANET FITNESS #3982,Health & Fitness,324.82
TXN000415,2023-01-20,STARBUCKS STORE 48763,Food & Drink,267.05
TXN000441,2023-01-20,TJ MAXX #4722008,Clothing,333.08
TXN000696,2023-01-20,AMEX EPAYMENT ACH PMT,Finance,53.86
TXN000068,2023-01-21,TMOBILE*POSTPAID,Utilities,35.32
TXN001154,2023-01-21,Amazon.com*5M03LEYE,Shopping,175.99
TXN002302,2023-01-21,NIKE #9865,Clothing,192.64
TXN002320,2023-01-21,T-MOBILE*AUTO PAY,Utilities,368.33
TXN000760,2023-01-22,EQUINOX #9717,Health & Fitness,307.58
TXN001353,2023-01-22,PANERA BREAD #471,Food & Drink,309.55
TXN001365,2023-01-22,MCDONALDS #72343,Food & Drink,251.36
TXN001849,2023-01-22,EXXON/MOBIL #1568554,Gas & Transport,252.96
TXN000145,2023-01-23,H&M STORE,Clothing,441.19
TXN001129,2023-01-23,NIKE #3512,Clothing,96.19
TXN001313,2023-01-23,H&M STORE,Clothing,490.64
TXN001393,2023-01-24,APPLE.COM/BILL,Entertainment,61.75
TXN002262,2023-01-24,COSTCO WHSE #0860,Shopping,89.78
TXN002880,2023-01-24,TRADER JOE'S #635,Groceries,193.29
TXN000012,2023-01-25,AMAZON WEB SVCS,Shopping,186.05
TXN001096,2023-01-25,NATIONALGRIDUS,Utilities,446.96
TXN002671,2023-01-25,PUBLIX #6801,Groceries,47.02
TXN002679,2023-01-25,PLANET FITNESS #1436,Health & Fitness,144.37
TXN000106,2023-01-26,PUBLIX #6907,Groceries,256.29
TXN000245,2023-01-26,WHOLEFDS SF 692,Groceries,143.76
TXN000275,2023-01-26,APL* APPLE ONLINE,Electronics,194.98
TXN000412,2023-01-26,GRUBHUB*THAI PALACE,Food & Drink,169.10
TXN001798,2023-01-26,NATIONALGRIDUS,Utilities,492.21
TXN002027,2023-01-26,STARBUCKS #27110,Food & Drink,323.60
TXN002052,2023-01-26,OLD NAVY #78790,Clothing,149.84
TXN002326,2023-01-26,WALGREENS #78490,Health,464.51
TXN000366,2023-01-27,SUBWAY #6968854,Food & Drink,322.75
TXN000457,2023-01-27,SPOTIFY P91946,Subscriptions,21.94
TXN002813,2023-01-27,UBER* EATS,Food & Drink,388.30
TXN000243,2023-01-28,MACY'S #3266,Clothing,384.33
TXN000495,2023-01-28,VENMO,Finance,341.34
TXN000523,2023-01-28,EXPEDIA,Travel,155.45
TXN000576,2023-01-28,CONED WEB PAY,Utilities,483.17
TXN000744,2023-01-28,CAPITAL ONE ONLINE PMT,Finance,294.54
TXN000767,2023-01-28,WALMART GROCERY #1750,Shopping,182.64
TXN001197,2023-01-28,OLD NAVY #22256,Clothing,202.59
TXN001830,2023-01-28,AT&T *PAYMENT,Utilities,197.58
TXN001972,2023-01-28,UBER *TRIP,Gas & Transport,5.76
TXN000477,2023-01-29,AA*165674297309,Travel,218.07
TXN001302,2023-01-29,RITE AID STORE 9378,Health,105.18
TXN002829,2023-01-29,WAYFAIR,Home & Furniture,12.21
TXN002948,2023-01-29,WAYFAIR,Home & Furniture,184.76
TXN000300,2023-01-30,AMERICAN AIRLINES,Travel,444.80
TXN000305,2023-01-30,TRADER JOE'S #754,Groceries,392.92
TXN001024,2023-01-30,GAP #54007,Clothing,236.64
TXN001816,2023-01-30,NETFLIX.COM,Subscriptions,136.70
TXN002304,2023-01-30,ADOBE*921117797,Subscriptions,199.18
TXN002779,2023-01-30,EBAY O*3256056696846,Shopping,170.97
TXN001275,2023-01-31,DELTA*347113231200,Travel,123.14
TXN001666,2023-01-31,PLANET FITNESS #3559,Health & Fitness,476.61
TXN001747,2023-01-31,OLD NAVY #93417,Clothing,377.52
TXN002873,2023-01-31,LOWES.COM,Home Improvement,218.60
TXN000031,2023-02-01,PAYPAL *TRANSFER,Finance,433.11
TXN000690,2023-02-01,TJMAXX.COM,Clothing,470.49
TXN001440,2023-02-01,DD/BR #846287,Food & Drink,89.14
TXN002389,2023-02-01,THE HOME DEPOT #5721,Home Improvement,52.54
TXN002628,2023-02-01,BKG*2018002201292,Travel,46.34
TXN001417,2023-02-02,PANERABREAD.COM,Food & Drink,79.68
TXN000032,2023-02-03,STEAM PURCHASE,Entertainment,471.55
TXN000697,2023-02-03,NATIONALGRIDUS,Utilities,498.61
TXN000872,2023-02-03,SOUTHWESTAIR.COM,Travel,376.51
TXN001056,2023-02-03,CAPITAL ONE ONLINE PMT,Finance,300.38
TXN001127,2023-02-03,TMOBILE*POSTPAID,Utilities,2.96
TXN002145,2023-02-03,ZARA #8599,Clothing,473.80
TXN002442,2023-02-03,NATIONALGRIDUS,Utilities,22.86
TXN002484,2023-02-03,MSBILL.INFO,Subscriptions,493.06
TXN000351,2023-02-04,AA*774670438946,Travel,109.20
TXN001010,2023-02-05,ITunes.com/bill,Entertainment,454.59
TXN001277,2023-02-05,PUBLIX #5703,Groceries,142.21
TXN001489,2023-02-05,COSTCO WHSE #0262,Shopping,168.05
TXN002518,2023-02-05,DISNEYPLUS.COM,Subscriptions,104.65
TXN001510,2023-02-06,GAP.COM,Clothing,257.11
TXN001628,2023-02-06,ETSY.COM,Shopping,274.78
TXN001976,2023-02-06,GOOGLE*SVCSAPPS,Entertainment,198.42
TXN000508,2023-02-07,AMEX EPAYMENT ACH PMT,Finance,381.07
TXN001549,2023-02-07,TRADER JOE'S #100,Groceries,36.42
TXN002003,2023-02-07,EXXONMOBIL GAS,Gas & Transport,416.55
TXN002515,2023-02-07,PETCO #10713,Pets,138.87
TXN002696,2023-02-07,MARRIOTT,Travel,313.23
TXN002828,2023-02-07,VENMO,Finance,452.67
TXN002186,2023-02-08,SHELL OIL 51357246751215,Gas & Transport,94.66
TXN002990,2023-02-08,LINKEDIN LEARNING,Education,183.07
TXN000536,2023-02-09,HILTON HHONORS,Travel,77.11
TXN001453,2023-02-09,PAYPAL *INST XFER,Finance,227.38
TXN002681,2023-02-09,SAFEWAY #8201,Groceries,315.86
TXN000417,2023-02-10,ADOBE SYSTEMS INC,Subscriptions,100.41
TXN000773,2023-02-10,UBER *TRIP,Gas & Transport,451.29
TXN000876,2023-02-10,PETCO #45768,Pets,10.41
TXN001520,2023-02-10,AMEX EPAYMENT ACH PMT,Finance,162.03
TXN002704,2023-02-10,UBER *TRIP HELP.UBER.C,Gas & Transport,145.66
TXN002949,2023-02-10,ALDI #13317,Groceries,448.26
TXN000251,2023-02-11,HULU,Subscriptions,240.86
TXN000349,2023-02-11,WHOLEFDS ATL 656,Groceries,88.69
TXN000784,2023-02-11,SHELL OIL 65541282880917,Gas & Transport,26.17
TXN000853,2023-02-11,SUBWAY #1510814,Food & Drink,293.47
TXN001131,2023-02-11,LYFT *1 LYFT.COM,Gas & Transport,270.32
TXN001357,2023-02-11,NIKE #8720,Clothing,33.91
TXN002563,2023-02-11,EXXONMOBIL GAS,Gas & Transport,229.50
TXN000982,2023-02-12,SPOTIFY P25398,Subscriptions,223.62
TXN002096,2023-02-12,DOORDASH*CHIPOTLE,Food & Drink,315.00
TXN002421,2023-02-12,CVS PHARMACY,Health,403.15
TXN000324,2023-02-13,HULU,Subscriptions,176.11
TXN000592,2023-02-13,STEAMGAMES.COM,Entertainment,191.33
TXN000918,2023-02-13,NATIONALGRIDUS,Utilities,58.41
TXN002047,2023-02-13,AMAZON PRIME*38IH811A,Shopping,328.92
TXN000033,2023-02-14,PETSMART #6583,Pets,52.31
TXN001238,2023-02-14,STEAMGAMES.COM,Entertainment,346.35
TXN001940,2023-02-14,KROGER #118,Groceries,478.31
TXN002031,2023-02-14,WALGREENS #58149,Health,36.94
TXN002844,2023-02-14,MACYS.COM,Clothing,299.29
TXN001362,2023-02-15,CAPITAL ONE ONLINE PMT,Finance,273.42
TXN002975,2023-02-15,PAYPAL *EBAY,Shopping,323.61
TXN000281,2023-02-16,CAPITAL ONE ONLINE PMT,Finance,14.73
TXN000903,2023-02-16,AMEX EPAYMENT ACH PMT,Finance,89.70
TXN002575,2023-02-16,UDEMY,Education,231.30
TXN001073,2023-02-17,COURSERA,Education,22.66
TXN002273,2023-02-17,WHOLEFDS SEA 317,Groceries,446.23
TXN000343,2023-02-18,CAPITAL ONE ONLINE PMT,Finance,217.38
TXN000668,2023-02-18,AMC #99734,Entertainment,447.50
TXN000703,2023-02-18,HILTON HOTELS,Travel,173.39
TXN001290,2023-02-18,DELTA*147520404530,Travel,368.80
TXN001585,2023-02-18,GAP.COM,Clothing,132.33
TXN001839,2023-02-18,SHELL SERVICE STATION,Gas & Transport,210.82
TXN001930,2023-02-18,WALGREENS STORE,Health,300.45
TXN002960,2023-02-18,BEST BUY #9670408,Electronics,290.19
TXN000425,2023-02-19,CHEWY.COM,Pets,183.51
TXN000460,2023-02-19,REGAL CINEMAS #9023,Entertainment,217.75
TXN000893,2023-02-19,AT&T MOBILITY,Utilities,280.52
TXN002067,2023-02-19,HULU*98457094,Subscriptions,32.63
TXN001052,2023-02-20,APPLE STORE #0373,Electronics,471.03
TXN001424,2023-02-20,ZARA #9129,Clothing,356.29
TXN000209,2023-02-21,SHELL OIL 47286476407885,Gas & Transport,44.03
TXN000532,2023-02-21,CHEVRON #498173,Gas & Transport,223.37
TXN000594,2023-02-21,AT&T *PAYMENT,Utilities,277.67
TXN001397,2023-02-21,BP#883571624445,Gas & Transport,296.43
TXN001980,2023-02-21,REGAL CINEMAS #1811,Entertainment,399.52
TXN000704,2023-02-22,WHOLE FOODS MARKET,Groceries,318.41
TXN001315,2023-02-22,LOWE'S #5222,Home Improvement,32.89
TXN001809,2023-02-22,ZARA #4298,Clothing,180.84
TXN002002,2023-02-22,DELTA AIR LINES,Travel,228.64
TXN002042,2023-02-23,CAPITAL ONE ONLINE PMT,Finance,218.68
TXN000483,2023-02-24,VERIZON WIRELESS,Utilities,485.16
TXN000763,2023-02-25,MICROSOFT 365,Subscriptions,9.24
TXN001251,2023-02-25,GOOGLE*SVCSAPPS,Entertainment,462.67
TXN001583,2023-02-25,WALGREENS STORE,Health,274.68
TXN001937,2023-02-25,PUBLIX #2303,Groceries,486.38
TXN002035,2023-02-25,GOOGLE*SVCSAPPS,Entertainment,21.04
TXN002693,2023-02-25,UBER EATS HELP.UBER.COM,Food & Drink,158.74
TXN002725,2023-02-25,BP GAS #147702,Gas & Transport,446.06
TXN002780,2023-02-25,CVS PHARMACY,Health,442.32
TXN000545,2023-02-26,SUBWAY #2431614,Food & Drink,434.96
TXN001835,2023-02-26,GOOGLE *PLAY,Entertainment,391.89
TXN000640,2023-02-27,WAL-MART SUPERCENTER,Shopping,172.51
TXN000679,2023-02-27,COSTCO GAS #0467,Shopping,159.83
TXN000892,2023-02-27,WELLS FARGO BANK,Finance,171.89
TXN002372,2023-02-27,WAL-MART #8231,Shopping,400.91
TXN000333,2023-02-28,WAL-MART SUPERCENTER,Shopping,327.15
TXN001788,2023-02-28,COSTCO.COM,Shopping,313.07
TXN002317,2023-02-28,STEAMGAMES.COM,Entertainment,42.41
TXN001168,2023-03-01,STARBUCKS STORE 91965,Food & Drink,359.09
TXN001740,2023-03-01,SAFEWAY #9264,Groceries,42.01
TXN001889,2023-03-01,MARRIOTT,Travel,140.14
TXN000994,2023-03-02,PETCO #70644,Pets,39.55
TXN002834,2023-03-02,GAP #71767,Clothing,283.05
TXN000094,2023-03-03,TMOBILE*POSTPAID,Utilities,365.38
TXN000600,2023-03-03,PETCO #73219,Pets,300.27
TXN000908,2023-03-03,CHASE CREDIT CRD EPAY,Finance,289.17
TXN001267,2023-03-03,SOUTHWEST AIR,Travel,488.19
TXN001648,2023-03-03,VZW*VERIZON,Utilities,229.69
TXN000108,2023-03-04,IKEA US #766,Home & Furniture,146.52
TXN000644,2023-03-04,LINKEDIN*PREMIUM,Education,253.26
TXN000922,2023-03-04,ALDI #10179,Groceries,190.65
TXN001250,2023-03-04,MCDONALDS #42118,Food & Drink,162.38
TXN001410,2023-03-04,STEAMGAMES.COM,Entertainment,230.02
TXN002085,2023-03-04,PAYPAL *TRANSFER,Finance,48.95
TXN002533,2023-03-04,AMAZON PRIME*FMZGDI7D,Shopping,44.46
TXN002123,2023-03-05,GAP.COM,Clothing,24.52
TXN000099,2023-03-06,SOUTHWEST AIR,Travel,377.10
TXN001152,2023-03-06,WAYFAIR LLC,Home & Furniture,89.89
TXN000422,2023-03-07,COURSERA,Education,263.29
TXN001690,2023-03-07,MARRIOTT HOTELS,Travel,85.83
TXN001802,2023-03-07,COSTCO.COM,Shopping,123.89
TXN001880,2023-03-07,CHEWY*29723197,Pets,197.16
TXN002899,2023-03-07,BOOKING.COM,Travel,424.42
TXN000802,2023-03-08,HILTON HHONORS,Travel,64.93
TXN001366,2023-03-08,TJMAXX.COM,Clothing,75.40
TXN001853,2023-03-08,Apple Store,Electronics,403.98
TXN001964,2023-03-08,COMCAST*661086354,Utilities,319.46
TXN001967,2023-03-08,Spotify USA,Subscriptions,181.42
TXN001991,2023-03-08,AT&T MOBILITY,Utilities,5.34
TXN001998,2023-03-08,ETSY INC,Shopping,445.08
TXN000253,2023-03-09,ALDI #91041,Groceries,316.30
TXN001867,2023-03-09,CHASE CREDIT CRD EPAY,Finance,131.15
TXN000423,2023-03-10,PAYPAL *PAYMENT,Finance,159.97
TXN002077,2023-03-10,SPOTIFY P72063,Subscriptions,54.10
TXN001613,2023-03-11,CHASE CREDIT CRD EPAY,Finance,365.77
TXN002108,2023-03-11,GAP.COM,Clothing,235.82
TXN002547,2023-03-11,ETSY.COM,Shopping,456.73
TXN001592,2023-03-12,NIKE.COM,Clothing,97.13
TXN001735,2023-03-12,T-MOBILE*AUTO PAY,Utilities,481.20
TXN002099,2023-03-12,UBEREATS,Food & Drink,298.60
TXN002148,2023-03-12,DOORDASH*CHIPOTLE,Food & Drink,129.03
TXN002504,2023-03-13,ADOBE  *ADOBE,Subscriptions,16.58
TXN002798,2023-03-13,PETSMART #1244,Pets,232.23
TXN000846,2023-03-14,OLDNAVY.COM,Clothing,49.03
TXN001034,2023-03-14,TARGET T-9252,Shopping,307.28
TXN000577,2023-03-15,COSTCO WHSE #0456,Shopping,148.28
TXN001390,2023-03-15,OLD NAVY #41691,Clothing,379.38
TXN001419,2023-03-15,COURSERA,Education,37.88
TXN001556,2023-03-15,NIKE.COM,Clothing,275.12
TXN001844,2023-03-15,AMERICAN AIRLINES,Travel,388.75
TXN002066,2023-03-15,AMC THEATRES #6978,Entertainment,191.85
TXN000147,2023-03-16,IKEA.COM/US,Home & Furniture,229.98
TXN000469,2023-03-16,ALDI #28904,Groceries,248.58
TXN001244,2023-03-16,UDEMY.COM*2UO9FIQZ,Education,320.97
TXN002299,2023-03-16,NATIONALGRIDUS,Utilities,261.42
TXN002578,2023-03-16,WHOLE FOODS MARKET,Groceries,346.46
TXN002739,2023-03-16,MSBILL.INFO,Subscriptions,321.00
TXN001674,2023-03-17,CONED WEB PAY,Utilities,170.17
TXN002054,2023-03-17,AMERICAN AIRLINES,Travel,274.54
TXN002537,2023-03-17,Google Play,Entertainment,209.23
TXN000195,2023-03-18,AMC THEATRES #6027,Entertainment,373.90
TXN000336,2023-03-18,UBEREATS,Food & Drink,374.83
TXN000953,2023-03-18,SHELL #130586,Gas & Transport,410.12
TXN001013,2023-03-18,SBUX,Food & Drink,302.06
TXN001509,2023-03-18,REGAL CINEMAS #8453,Entertainment,488.86
TXN002387,2023-03-18,DUNKIN DONUTS,Food & Drink,201.18
TXN000109,2023-03-19,LINKEDIN*PREMIUM,Education,96.92
TXN001741,2023-03-19,ALDI #10832,Groceries,2.67
TXN001956,2023-03-19,H & M #12786,Clothing,54.40
TXN002708,2023-03-19,DISNEY PLUS,Subscriptions,486.22
TXN000058,2023-03-20,NETFLIX.COM,Subscriptions,98.50
TXN000392,2023-03-20,CHIPOTLE ONLINE,Food & Drink,80.55
TXN000808,2023-03-20,DD/BR #555107,Food & Drink,130.96
TXN001173,2023-03-20,NATIONALGRIDUS,Utilities,121.98
TXN001817,2023-03-20,APPLE.COM/BILL,Entertainment,23.29
TXN002116,2023-03-20,ITunes.com/bill,Entertainment,386.20
TXN000520,2023-03-21,PAYPAL *EBAY,Shopping,355.36
TXN001566,2023-03-21,TJ MAXX #3252416,Clothing,256.91
TXN001611,2023-03-21,LINKEDIN*PREMIUM,Education,380.52
TXN001001,2023-03-22,ETSY.COM,Shopping,412.28
TXN001511,2023-03-22,PANERABREAD.COM,Food & Drink,366.77
TXN001622,2023-03-22,CHIPOTLE ONLINE,Food & Drink,151.49
TXN001713,2023-03-22,WHOLE FOODS MARKET,Groceries,68.66
TXN002046,2023-03-22,GRUBHUB.COM,Food & Drink,471.01
TXN002480,2023-03-22,EBAY O*6594314577156,Shopping,414.15
TXN000837,2023-03-23,SPOTIFY P93539,Subscriptions,360.93
TXN001363,2023-03-23,VALVE*STEAM,Entertainment,453.33
TXN001825,2023-03-23,EBAY O*3409988463396,Shopping,282.94
TXN000254,2023-03-24,PLAYSTATION NETWORK,Entertainment,330.66
TXN000524,2023-03-24,ALDI #30041,Groceries,13.55
TXN001379,2023-03-24,UBEREATS,Food & Drink,207.19
TXN000485,2023-03-25,PSN*PLAYSTATION,Entertainment,498.39
TXN000722,2023-03-25,GAP #86304,Clothing,48.66
TXN000895,2023-03-25,UBER* TRIP HELP.UBER.COM,Gas & Transport,198.60
TXN001070,2023-03-25,HULU*12910087,Subscriptions,389.51
TXN002700,2023-03-25,AMEX EPAYMENT ACH PMT,Finance,80.32
TXN000624,2023-03-26,MACY'S #5650,Clothing,126.91
TXN001405,2023-03-26,BEST BUY #6619464,Electronics,299.92
TXN000657,2023-03-27,NATIONALGRIDUS,Utilities,314.20
TXN000791,2023-03-27,STARBUCKS STORE 14273,Food & Drink,129.25
TXN001303,2023-03-27,BP#620202375049,Gas & Transport,302.89
TXN001738,2023-03-27,LOWE'S #5056,Home Improvement,98.26
TXN002280,2023-03-27,PETCO #55474,Pets,425.69
TXN000387,2023-03-28,ADOBE SYSTEMS INC,Subscriptions,101.04
TXN000891,2023-03-28,SOUTHWEST AIR,Travel,294.88
TXN001444,2023-03-28,VENMO,Finance,209.46
TXN001587,2023-03-28,PAYPAL *INST XFER,Finance,133.71
TXN001821,2023-03-28,THE HOME DEPOT #4960,Home Improvement,413.61
TXN002355,2023-03-28,WALGREENS #75324,Health,299.89
TXN002535,2023-03-28,TARGET #3012,Shopping,280.66
TXN001265,2023-03-29,MACYS.COM,Clothing,386.02
TXN000137,2023-03-30,COURSERA INC,Education,331.75
TXN000221,2023-03-30,COSTCO.COM,Shopping,366.74
TXN000757,2023-03-30,AMERICAN AIRLINES,Travel,371.30
TXN000820,2023-03-30,OLDNAVY.COM,Clothing,280.63
TXN001054,2023-03-30,VERIZON WIRELESS,Utilities,381.74
TXN001491,2023-03-30,WAYFAIR*80567068,Home & Furniture,249.03
TXN002125,2023-03-30,PLANET FITNESS #5125,Health & Fitness,481.46
TXN002658,2023-03-30,CHEVRON #259012,Gas & Transport,140.25
TXN001242,2023-03-31,LINKEDIN*PREMIUM,Education,318.04
TXN001378,2023-03-31,PLAYSTATION*STORE,Entertainment,183.07
TXN001984,2023-03-31,PANERABREAD.COM,Food & Drink,385.25
TXN000007,2023-04-01,OLDNAVY.COM,Clothing,130.78
TXN000201,2023-04-01,AT&T MOBILITY,Utilities,154.71
TXN000489,2023-04-01,PETCO #93516,Pets,169.71
TXN000847,2023-04-01,BKG*2592788409355,Travel,459.24
TXN001288,2023-04-01,DOORDASH DASHPASS,Food & Drink,30.85
TXN001420,2023-04-01,PLANET FITNESS #1591,Health & Fitness,308.82
TXN002079,2023-04-01,THE HOME DEPOT #8065,Home Improvement,108.14
TXN002129,2023-04-01,TJMAXX.COM,Clothing,280.79
TXN002545,2023-04-01,T-MOBILE*AUTO PAY,Utilities,382.39
TXN000129,2023-04-02,CHEWY.COM,Pets,391.84
TXN000562,2023-04-02,GRUBHUB*THAI PALACE,Food & Drink,279.72
TXN000867,2023-04-02,COSTCO.COM,Shopping,19.08
TXN002945,2023-04-02,CHIPOTLE #3710,Food & Drink,36.32
TXN000886,2023-04-03,MACY'S #1788,Clothing,233.16
TXN001749,2023-04-03,HULU*35958572,Subscriptions,136.69
TXN001871,2023-04-03,MICROSOFT*MSBILL,Subscriptions,193.24
TXN002140,2023-04-03,GOOGLE*SVCSAPPS,Entertainment,68.21
TXN002310,2023-04-03,MACYS.COM,Clothing,494.62
TXN002438,2023-04-03,HULU*39388923,Subscriptions,251.34
TXN000721,2023-04-04,SAFEWAY #2151,Groceries,209.06
TXN002664,2023-04-04,DOORDASH DASHPASS,Food & Drink,487.04
TXN002835,2023-04-04,BP#572881469239,Gas & Transport,245.52
TXN000079,2023-04-05,NETFLIX.COM,Subscriptions,51.39
TXN000111,2023-04-05,WALMART.COM,Shopping,445.41
TXN001036,2023-04-05,CAPITAL ONE ONLINE PMT,Finance,343.57
TXN001632,2023-04-05,WAYFAIR*95068573,Home & Furniture,496.15
TXN002278,2023-04-05,PANERABREAD.COM,Food & Drink,248.65
TXN002419,2023-04-05,PANERABREAD.COM,Food & Drink,478.20
TXN001745,2023-04-06,GOOGLE *PLAY,Entertainment,124.77
TXN002352,2023-04-06,LYFT *RIDE,Gas & Transport,318.63
TXN002567,2023-04-06,AMZN Mktp US*GDMLX832,Shopping,37.05
TXN000761,2023-04-07,EBAY O*3755309052840,Shopping,338.46
TXN001939,2023-04-07,UBER *TRIP,Gas & Transport,269.12
TXN002727,2023-04-07,AMC #70561,Entertainment,336.57
